BTL0226,2010-11-02,Bernard Tobias Landry,BTL0226,Bernard.Tobias.Landry@dtaa.com,Physicist,1,2 - ResearchAndEngineering,1 - Research,1 - Lab,Jackson Linus Wilkerson,
VSS0154,2010-11-03,Vernon Samuel Sawyer,VSS0154,Vernon.Samuel.Sawyer@dtaa.com,AdministrativeStaff,1,4 - Finance,2 - Payroll,,Vera Mollie Jenkins,
MPM0220,2010-11-05,Meghan Phoebe Macias,MPM0220,Meghan.Phoebe.Macias@dtaa.com,ITAdmin,1,1 - Adminstration,6 - Security,2 - ElectronicSecurity,Frances Alisa Wiggins,
RGG0064,2010-11-15,Riley Ginger Guy,RGG0064,Riley.Ginger.Guy@dtaa.com,SoftwareEngineer,1,2 - ResearchAndEngineering,2 - SoftwareManagement,,Todd Vance Spears,
AAM0658,2010-11-17,Abel Adam Morton,AAM0658,Abel.Adam.Morton@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,3 - RegionalFieldService,Hedwig Regina Livingston,
TAP0551,2010-11-18,Tara Alma Potts,TAP0551,Tara.Alma.Potts@dtaa.com,Physicist,1,2 - ResearchAndEngineering,1 - Research,3 - Lab,Honorato Ivan Wall,
SOB0360,2010-11-19,Sean Omar Burgess,SOB0360,Sean.Omar.Burgess@dtaa.com,ITAdmin,1,1 - Adminstration,6 - Security,3 - ElectronicSecurity,Francis Brian Armstrong,
JMH0543,2010-11-23,Jermaine Mannix Hansen,JMH0543,Jermaine.Mannix.Hansen@dtaa.com,Scientist,1,2 - ResearchAndEngineering,1 - Research,3 - Lab,Honorato Ivan Wall,
GHL0460,2010-11-24,Geoffrey Harlan Lara,GHL0460,Geoffrey.Harlan.Lara@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,2 - AssemblyDept,Armando Albert Walter,
CIM0926,2010-11-24,Caldwell Ian Maxwell,CIM0926,Caldwell.Ian.Maxwell@dtaa.com,Scientist,1,2 - ResearchAndEngineering,1 - Research,6 - Lab,Lillith Adena Matthews,
PGH0184,2010-11-24,Peter Gil Harrington,PGH0184,Peter.Gil.Harrington@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,1 - RegionalFieldService,Garrett Nicholas Solomon,
AKR0057,2010-11-30,Aurora Katell Rhodes,AKR0057,Aurora.Katell.Rhodes@dtaa.com,AdministrativeAssistant,1,2 - ResearchAndEngineering,1 - Research,1 - Lab,Jackson Linus Wilkerson,
