Leave  Users in CERT4.2 from 2009-12 to 2011-05
HJS0072,2010-02-03,Honorato John Sloan,HJS0072,Honorato.John.Sloan@dtaa.com,SoftwareEngineer,1,2 - ResearchAndEngineering,2 - SoftwareManagement,1 - Software,Vance Ira Alston
ANM0123,2010-02-05,Astra Nicole Maldonado,ANM0123,Astra.Nicole.Maldonado@dtaa.com,AdministrativeAssistant,1,3 - Manufacturing,2 - ManufacturingEngineering,,Fritz Dale Ellison
DAR0885,2010-02-08,Devin Abdul Rogers,DAR0885,Devin.Abdul.Rogers@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,5 - RegionalFieldService,Blythe Veda Cooke
MTT0901,2010-02-11,Mohammad Taylor Terrell,MTT0901,Mohammad.Taylor.Terrell@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,5 - RegionalFieldService,Blythe Veda Cooke
DGM0754,2010-02-11,Declan Gareth Mclaughlin,DGM0754,Declan.Gareth.Mclaughlin@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,4 - RegionalSales,Lysandra Chastity Brennan
MBW0809,2010-02-12,Marshall Benjamin Wilcox,MBW0809,Marshall.Benjamin.Wilcox@dtaa.com,ComputerScientist,1,2 - ResearchAndEngineering,2 - SoftwareManagement,5 - Software,Sara Gail George
LDD0560,2010-02-17,Leslie Denise Dillon,LDD0560,Leslie.Denise.Dillon@dtaa.com,ComputerScientist,1,2 - ResearchAndEngineering,2 - SoftwareManagement,3 - Software,Stephanie Briar Harrington
EAH0466,2010-02-19,Ethan Arden Hays,EAH0466,Ethan.Arden.Hays@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,2 - AssemblyDept,Armando Albert Walter
EDA0684,2010-02-19,Edward Dean Anthony,EDA0684,Edward.Dean.Anthony@dtaa.com,ComputerProgrammer,1,2 - ResearchAndEngineering,2 - SoftwareManagement,4 - Software,Aurora Tatiana Payne
BQS0525,2010-02-19,Britanney Quail Snyder,BQS0525,Britanney.Quail.Snyder@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,2 - RegionalFieldService,Burke Randall Burnett
LPH0572,2010-02-23,Lunea Priscilla Hardy,LPH0572,Lunea.Priscilla.Hardy@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,3 - AssemblyDept,Whilemina Pandora England
CRD0624,2010-03-05,Christine Reagan Deleon,CRD0624,Christine.Reagan.Deleon@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,3 - RegionalSales,Winter Veda Burks
AAS0442,2010-03-12,Amal Alexander Shelton,AAS0442,Amal.Alexander.Shelton@dtaa.com,Technician,1,2 - ResearchAndEngineering,3 - Engineering,7 - TestAndEvalualtion,Cameron Noel Elliott
HMM0108,2010-03-19,Hakeem Mason Mccall,HMM0108,Hakeem.Mason.Mccall@dtaa.com,MechanicalEngineer,1,2 - ResearchAndEngineering,3 - Engineering,5 - TestAndEvalualtion,Rose Hanae Yates
JRH0455,2010-03-19,Jeremy Rooney Henderson,JRH0455,Jeremy.Rooney.Henderson@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,2 - AssemblyDept,Armando Albert Walter
CAC0889,2010-03-26,Caesar Allen Cash,CAC0889,Caesar.Allen.Cash@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,5 - RegionalFieldService,Blythe Veda Cooke
CFW0264,2010-03-26,Carl Ferdinand Wong,CFW0264,Carl.Ferdinand.Wong@dtaa.com,MaterialsEngineer,1,2 - ResearchAndEngineering,3 - Engineering,3 - MaterialsEngineering,Ainsley MacKensie Doyle
RRC0553,2010-04-01,Raya Regan Church,RRC0553,Raya.Regan.Church@dtaa.com,Physicist,1,2 - ResearchAndEngineering,1 - Research,3 - Lab,Honorato Ivan Wall
MVH0373,2010-04-06,Madonna Veronica Hardy,MVH0373,Madonna.Veronica.Hardy@dtaa.com,ITAdmin,1,1 - Adminstration,6 - Security,3 - ElectronicSecurity,Francis Brian Armstrong
LHB0606,2010-04-28,Louis Hyatt Bruce,LHB0606,Louis.Hyatt.Bruce@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,3 - RegionalSales,Winter Veda Burks
QOS0878,2010-05-06,Quynn Odessa Sanford,QOS0878,Quynn.Odessa.Sanford@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,5 - RegionalSales,Hashim Damon Dudley
HRD0635,2010-05-10,Hadley Rhona Dillon,HRD0635,Hadley.Rhona.Dillon@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,3 - RegionalFieldService,Hedwig Regina Livingston
BRS0734,2010-05-12,Burke Rooney Stafford,BRS0734,Burke.Rooney.Stafford@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,4 - RegionalSales,Lysandra Chastity Brennan
MAD0496,2010-05-14,Martin Armand Douglas,MAD0496,Martin.Armand.Douglas@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,2 - RegionalSales,Bert Jason Henderson
OLB0749,2010-05-20,Oscar Laith Berger,OLB0749,Oscar.Laith.Berger@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,4 - RegionalSales,Lysandra Chastity Brennan
CYA0506,2010-06-01,Cecilia Yuri Ashley,CYA0506,Cecilia.Yuri.Ashley@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,2 - RegionalFieldService,Burke Randall Burnett
HWY0038,2010-06-04,Howard Wing Yang,HWY0038,Howard.Wing.Yang@dtaa.com,ITAdmin,1,1 - Adminstration,6 - Security,2 - ElectronicSecurity,Frances Alisa Wiggins
BVN0514,2010-06-08,Buffy Vivien Nichols,BVN0514,Buffy.Vivien.Nichols@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,2 - RegionalFieldService,Burke Randall Burnett
DPS0262,2010-06-09,Delilah Pearl Schneider,DPS0262,Delilah.Pearl.Schneider@dtaa.com,ElectricalEngineer,1,2 - ResearchAndEngineering,3 - Engineering,2 - ElectricalEngineering,Dylan Tiger Terry
CSC0217,2010-06-11,Cathleen Samantha Craig,CSC0217,Cathleen.Samantha.Craig@dtaa.com,ITAdmin,1,1 - Adminstration,6 - Security,2 - ElectronicSecurity,Frances Alisa Wiggins
GTD0219,2010-06-18,Gareth Thomas Dickson,GTD0219,Gareth.Thomas.Dickson@dtaa.com,ITAdmin,1,1 - Adminstration,6 - Security,2 - ElectronicSecurity,Frances Alisa Wiggins
BMS0877,2010-06-30,Brynn Madeline Sherman,BMS0877,Brynn.Madeline.Sherman@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,5 - RegionalSales,Hashim Damon Dudley
JGT0221,2010-07-16,Jonathan Gary Terry,JGT0221,Jonathan.Gary.Terry@dtaa.com,ITAdmin,1,1 - Adminstration,6 - Security,2 - ElectronicSecurity,Frances Alisa Wiggins
MCD0125,2010-07-19,Mallory Charissa Dixon,MCD0125,Mallory.Charissa.Dixon@dtaa.com,MechanicalEngineer,1,3 - Manufacturing,2 - ManufacturingEngineering,,Fritz Dale Ellison
EGD0409,2010-07-21,Elijah Gary Diaz,EGD0409,Elijah.Gary.Diaz@dtaa.com,ElectricalEngineer,1,2 - ResearchAndEngineering,3 - Engineering,6 - SystemsEngineering,Hadassah Riley Baker
LOM0086,2010-07-23,Lane Oleg Mclaughlin,LOM0086,Lane.Oleg.Mclaughlin@dtaa.com,ElectricalEngineer,1,2 - ResearchAndEngineering,3 - Engineering,2 - ElectricalEngineering,Dylan Tiger Terry
JTM0223,2010-07-23,Jerry Tad Mccall,JTM0223,Jerry.Tad.Mccall@dtaa.com,ITAdmin,1,1 - Adminstration,6 - Security,2 - ElectronicSecurity,Frances Alisa Wiggins
BIH0745,2010-07-27,Benjamin Ignatius Hooper,BIH0745,Benjamin.Ignatius.Hooper@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,4 - RegionalSales,Lysandra Chastity Brennan
