01/04/2010 10:13:19,CIM0926,PC-3201,Teagan_R_Kennedy@comcast.net;Fay.I.Rodriquez@netzero.com,Kirby.B.Pollard@juno.com,,CIM92@msn.com,18245,0,
01/04/2010 13:23:07,CIM0926,PC-3201,Jonas.Connor.Riddle@dtaa.com;Keegan.Marvin.Benson@dtaa.com;Jade.Maris.Coleman@dtaa.com,Robert.Ali.Webb@dtaa.com;Chandler.Raymond.Kirk@dtaa.com,,Caldwell.Ian.Maxwell@dtaa.com,28237,0,
01/04/2010 13:29:57,CIM0926,PC-3201,Azalia.Halee.Cantu@dtaa.com;Tashya.C.Scott@hp.com,Illana.Yvette.Bradshaw@dtaa.com,,Caldwell.Ian.Maxwell@dtaa.com,24892,0,
01/04/2010 13:44:19,CIM0926,PC-3201,Teagan.Raven.Kennedy@dtaa.com,,,Caldwell.Ian.Maxwell@dtaa.com,30592,0,
01/04/2010 16:22:58,CIM0926,PC-3201,Amena.K.Christian@comcast.net,,,CIM92@msn.com,28848,0,
01/04/2010 16:26:36,CIM0926,PC-3201,Chandler.Raymond.Kirk@dtaa.com;Lillith.Adena.Matthews@dtaa.com;Fay.Ingrid.Rodriquez@dtaa.com,Plato.Ethan.Valdez@dtaa.com,,Caldwell.Ian.Maxwell@dtaa.com,21269,0,
01/04/2010 17:01:54,CIM0926,PC-3201,Webb-Robert@msn.com;Amena.K.Christian@comcast.net,,,CIM92@msn.com,25963,0,
01/04/2010 19:17:02,CIM0926,PC-3201,Teagan_R_Kennedy@comcast.net,,,CIM92@msn.com,38581,0,
01/04/2010 19:19:08,CIM0926,PC-3201,BMG8237@yahoo.com;Jade.M.Coleman@charter.net,,,CIM92@msn.com,25594,0,
01/05/2010 09:27:40,CIM0926,PC-3201,Robert.Ali.Webb@dtaa.com;Keegan.Marvin.Benson@dtaa.com;Hashim.Damon.Hebert@dtaa.com;Tashya.C.Scott@hp.com,,,Caldwell.Ian.Maxwell@dtaa.com,40124,0,
01/05/2010 12:38:25,CIM0926,PC-3201,Nigel.Harrison.Estrada@dtaa.com;Xander.Walter.Doyle@dtaa.com,Teagan.Raven.Kennedy@dtaa.com;Serena.L.Perez@northropgrumman.com,,Caldwell.Ian.Maxwell@dtaa.com,38675,2,
