LCE Feats for CCC0393
2011-02-21,IKR0401,194.0,['2010-01-08'; '2010-01-11'; '2010-01-12'; '2010-01-13'; '2010-01-18'; '2010-01-26'; '2010-01-28'; '2010-01-29'; '2010-02-02'; '2010-02-04'; '2010-02-08'; '2010-02-09'; '2010-02-15'; '2010-02-16'; '2010-02-22'; '2010-02-23'; '2010-02-24'; '2010-02-26'; '2010-03-01'; '2010-03-03'; '2010-03-05'; '2010-03-09'; '2010-03-16'; '2010-03-22'; '2010-03-26'; '2010-03-29'; '2010-03-31'; '2010-04-01'; '2010-04-08'; '2010-04-09'; '2010-04-12'; '2010-04-21'; '2010-04-22'; '2010-04-23'; '2010-04-29'; '2010-05-04'; '2010-05-06'; '2010-05-13'; '2010-05-14'; '2010-05-17'; '2010-05-21'; '2010-05-25'; '2010-05-27'; '2010-06-01'; '2010-06-02'; '2010-06-03'; '2010-06-07'; '2010-06-09'; '2010-06-10'; '2010-06-16'; '2010-06-17'; '2010-06-25'; '2010-06-28'; '2010-06-30'; '2010-07-06'; '2010-07-07'; '2010-07-13'; '2010-07-14'; '2010-07-20'; '2010-07-21'; '2010-07-22'; '2010-07-23'; '2010-07-26'; '2010-07-27'; '2010-07-29'; '2010-07-30'; '2010-08-02'; '2010-08-09'; '2010-08-10'; '2010-08-11'; '2010-08-13'; '2010-08-17'; '2010-08-24'; '2010-08-27'; '2010-08-31'; '2010-09-01'; '2010-09-03'; '2010-09-08'; '2010-09-09'; '2010-09-10'; '2010-09-14'; '2010-09-15'; '2010-09-20'; '2010-09-23'; '2010-09-27'; '2010-09-29'; '2010-10-01'; '2010-10-04'; '2010-10-13'; '2010-10-14'; '2010-10-18'; '2010-10-19'; '2010-10-20'; '2010-10-21'; '2010-10-25'; '2010-10-26'; '2010-10-28'; '2010-11-03'; '2010-11-05'; '2010-11-08'; '2010-11-09'; '2010-11-10'; '2010-11-16'; '2010-11-17'; '2010-11-18'; '2010-11-22'; '2010-12-02'; '2010-12-03'; '2010-12-06'; '2010-12-08'; '2010-12-09'; '2010-12-10'; '2010-12-13'; '2010-12-14'; '2010-12-15'; '2010-12-21'; '2010-12-22'; '2010-12-30'; '2011-01-06'; '2011-01-10'; '2011-01-13'; '2011-01-14'; '2011-01-18'; '2011-01-19'; '2011-01-24'; '2011-01-25'; '2011-01-28'; '2011-01-31'; '2011-02-02'; '2011-02-04'; '2011-02-09'; '2011-02-11'; '2011-02-14'; '2011-02-16'],5771389.0,46.0
2011-02-22,CCL0068,1.0,['2010-01-13'],19448.0,0.0
2011-02-25,KLH0596,1.0,['2010-04-30'],29267.0,0.0
2011-03-04,VSA0230,1.0,['2010-06-04'],23320.0,0.0
2011-03-10,SNC0187,1.0,['2011-03-10'],17831.0,0.0
2011-03-18,NRD0548,1.0,['2011-01-13'],31804.0,0.0
2011-03-24,MMB0488,2.0,['2010-02-16'; '2010-08-04'],73152.0,1.0
2011-04-11,GBM0603,1.0,['2010-08-10'],44403.0,0.0
2011-04-12,HBO0413,1.0,['2010-07-06'],32213.0,2.0
2011-04-18,CQW0652,2.0,['2010-09-01'; '2010-09-08'],52083.0,1.0
2011-04-29,JLM0364,1.0,['2010-08-26'],21672.0,0.0
2011-04-29,FSB0399,214.0,['2010-01-04'; '2010-01-05'; '2010-01-06'; '2010-01-08'; '2010-01-13'; '2010-01-14'; '2010-01-21'; '2010-01-22'; '2010-01-25'; '2010-01-29'; '2010-02-01'; '2010-02-02'; '2010-02-04'; '2010-02-08'; '2010-02-09'; '2010-02-15'; '2010-02-16'; '2010-02-18'; '2010-02-23'; '2010-02-24'; '2010-03-01'; '2010-03-05'; '2010-03-09'; '2010-03-12'; '2010-03-15'; '2010-03-16'; '2010-03-18'; '2010-03-19'; '2010-03-25'; '2010-03-29'; '2010-03-30'; '2010-03-31'; '2010-04-01'; '2010-04-09'; '2010-04-13'; '2010-04-14'; '2010-04-15'; '2010-04-22'; '2010-04-23'; '2010-04-26'; '2010-05-05'; '2010-05-06'; '2010-05-12'; '2010-05-13'; '2010-05-18'; '2010-05-19'; '2010-05-21'; '2010-05-24'; '2010-05-25'; '2010-06-02'; '2010-06-09'; '2010-06-10'; '2010-06-14'; '2010-06-23'; '2010-06-25'; '2010-06-28'; '2010-07-01'; '2010-07-02'; '2010-07-06'; '2010-07-08'; '2010-07-09'; '2010-07-13'; '2010-07-15'; '2010-07-16'; '2010-07-21'; '2010-07-22'; '2010-07-26'; '2010-08-02'; '2010-08-04'; '2010-08-05'; '2010-08-06'; '2010-08-10'; '2010-08-12'; '2010-08-19'; '2010-08-20'; '2010-08-27'; '2010-09-01'; '2010-09-02'; '2010-09-03'; '2010-09-09'; '2010-09-10'; '2010-09-14'; '2010-09-16'; '2010-09-22'; '2010-09-23'; '2010-09-27'; '2010-09-29'; '2010-10-04'; '2010-10-07'; '2010-10-08'; '2010-10-12'; '2010-10-13'; '2010-10-15'; '2010-10-20'; '2010-10-21'; '2010-11-01'; '2010-11-02'; '2010-11-08'; '2010-11-09'; '2010-11-10'; '2010-11-15'; '2010-11-16'; '2010-11-18'; '2010-11-22'; '2010-11-23'; '2010-12-02'; '2010-12-06'; '2010-12-09'; '2010-12-10'; '2010-12-13'; '2010-12-14'; '2010-12-15'; '2010-12-20'; '2010-12-21'; '2010-12-27'; '2010-12-29'; '2011-01-03'; '2011-01-04'; '2011-01-05'; '2011-01-06'; '2011-01-10'; '2011-01-13'; '2011-01-17'; '2011-01-18'; '2011-01-19'; '2011-01-21'; '2011-01-24'; '2011-01-25'; '2011-01-26'; '2011-01-28'; '2011-01-31'; '2011-02-02'; '2011-02-03'; '2011-02-04'; '2011-02-09'; '2011-02-14'; '2011-02-16'; '2011-02-22'; '2011-02-23'; '2011-03-02'; '2011-03-03'; '2011-03-04'; '2011-03-07'; '2011-03-08'; '2011-03-11'; '2011-03-14'; '2011-03-16'; '2011-03-18'; '2011-03-21'; '2011-03-22'; '2011-03-30'; '2011-04-04'; '2011-04-05'; '2011-04-06'; '2011-04-11'; '2011-04-13'; '2011-04-15'; '2011-04-20'; '2011-04-25'; '2011-04-26'; '2011-04-27'; '2011-04-29'],6437014.0,62.0
