01/04/2010 10:29:24,HAV0121,PC-2123,Kermit_Oliver@hotmail.com;Rachel_H_Le@msn.com,Burke-Harrison@gmail.com;Byers_Elizabeth@gmail.com,,HAV856@charter.net,36007,0,
01/04/2010 16:57:15,HAV0121,PC-2123,Rachel.Hermione.Le@dtaa.com;Quintessa.Shana.Vance@dtaa.com;Brianna.Rebecca.Mcintyre@dtaa.com;Tallulah.Liberty.Kirby@dtaa.com,Kermit.Coby.Oliver@dtaa.com,,Hu.Akeem.Vincent@dtaa.com,39247,0,
01/04/2010 17:02:22,HAV0121,PC-2123,Rachel_H_Le@msn.com,,,HAV856@charter.net,32194,0,
01/04/2010 17:21:47,HAV0121,PC-2123,Brianna.Rebecca.Mcintyre@dtaa.com;Harrison.Oscar.Burke@dtaa.com;Rachel.Hermione.Le@dtaa.com,,,Hu.Akeem.Vincent@dtaa.com,19716,0,
01/04/2010 18:07:30,HAV0121,PC-2123,Tallulah.L.Kirby@aol.com,,,HAV856@charter.net,30237,0,
01/04/2010 18:21:44,HAV0121,PC-2123,Brianna.R.Mcintyre@cox.net,,,HAV856@charter.net,33384,0,
01/04/2010 18:34:06,HAV0121,PC-2123,Ferrell.Lucas@sbcglobal.net,,,HAV856@charter.net,25916,0,
01/04/2010 18:36:44,HAV0121,PC-2123,Brennan-Flynn@yahoo.com;Rachel_H_Le@msn.com;Jonah.M.Wilder@aol.com,,,HAV856@charter.net,29116,0,
01/05/2010 15:37:13,HAV0121,PC-2123,Brianna.Rebecca.Mcintyre@dtaa.com,,,Hu.Akeem.Vincent@dtaa.com,26004,0,
01/05/2010 17:36:38,HAV0121,PC-2123,Tara_Stevenson@netzero.com,,,HAV856@charter.net,25618,0,
01/05/2010 17:38:46,HAV0121,PC-2123,Ferrell.Lucas@sbcglobal.net,,,HAV856@charter.net,48734,0,
01/05/2010 17:39:02,HAV0121,PC-2123,Brianna.R.Mcintyre@cox.net;Ferrell.Lucas@sbcglobal.net;Rachel_H_Le@msn.com,Clio_O_Faulkner@cox.net,,HAV856@charter.net,57911,0,
01/05/2010 17:44:51,HAV0121,PC-2123,Brianna.R.Mcintyre@cox.net;Tallulah.L.Kirby@aol.com,Byers_Elizabeth@gmail.com,,HAV856@charter.net,21235,0,
01/05/2010 17:45:29,HAV0121,PC-2123,Doyle.Grant@netzero.com,Brianna.R.Mcintyre@cox.net,,HAV856@charter.net,25728,0,
