01/04/2010 08:38:01,GOK0238,PC-0039,Hedda.Grace.Gordon@dtaa.com;Prescott.Giacomo.Conley@dtaa.com;Daphne.Ruby.Reilly@dtaa.com;Nicholas.Kato.Pennington@dtaa.com,Chloe.Keiko.Holland@dtaa.com,,Garrett.Omar.Kelly@dtaa.com,19007,0,
01/04/2010 08:38:09,GOK0238,PC-0039,NKH9@charter.net,,,Kelly-Garrett@netzero.com,32505,0,
01/04/2010 08:39:02,GOK0238,PC-0039,Florence_G_Whitney@cox.net,,,Kelly-Garrett@netzero.com,26511,0,
01/04/2010 08:39:38,GOK0238,PC-0039,Camilla.Camille.Leach@dtaa.com,Tobias.Martin.Ashley@dtaa.com,,Garrett.Omar.Kelly@dtaa.com,18877,0,
01/04/2010 08:40:31,GOK0238,PC-0039,Tobias.Martin.Ashley@dtaa.com,,,Garrett.Omar.Kelly@dtaa.com,27519,0,
01/04/2010 08:41:36,GOK0238,PC-0039,Bertha.Yetta.Parrish@dtaa.com;Brian.Nathaniel.Greer@dtaa.com;Cassady.Quincy.Hampton@dtaa.com;Tobias.Martin.Ashley@dtaa.com;Nicholas.Kato.Pennington@dtaa.com,,,Garrett.Omar.Kelly@dtaa.com,42140,0,
01/04/2010 08:41:48,GOK0238,PC-0039,Veda_Jacobson@juno.com,,,Kelly-Garrett@netzero.com,35292,0,
01/04/2010 08:42:26,GOK0238,PC-0039,TMA37@msn.com,Hedda_Gordon@optonline.net,,Kelly-Garrett@netzero.com,27397,0,
01/04/2010 08:42:27,GOK0238,PC-0039,Amaya_Newton@earthlink.net,,,Kelly-Garrett@netzero.com,15941,0,
01/05/2010 07:53:43,GOK0238,PC-0039,Tobias.Martin.Ashley@dtaa.com;Hector.Vance.Foster@dtaa.com;Demetrius.Alvin.Levy@dtaa.com,,,Garrett.Omar.Kelly@dtaa.com,13844,0,
01/05/2010 07:53:52,GOK0238,PC-0039,Camilla.Camille.Leach@dtaa.com;Brian.Nathaniel.Greer@dtaa.com;Lamar.Francis.Scott@dtaa.com,Hector.Vance.Foster@dtaa.com,,Garrett.Omar.Kelly@dtaa.com,30903,0,
01/05/2010 08:06:02,GOK0238,PC-0039,Vance.Ira.Alston@dtaa.com,,,Garrett.Omar.Kelly@dtaa.com,30754,0,
01/05/2010 11:15:09,GOK0238,PC-0039,Amaya.Britanni.Newton@dtaa.com,Honorato.John.Sloan@dtaa.com,,Garrett.Omar.Kelly@dtaa.com,45533,0,
01/05/2010 11:34:13,GOK0238,PC-0039,Lamar.Francis.Scott@dtaa.com,,,Garrett.Omar.Kelly@dtaa.com,24293,0,
01/05/2010 13:57:06,GOK0238,PC-0039,Lamar.Francis.Scott@dtaa.com;Prescott.Giacomo.Conley@dtaa.com,Wanda.Samantha.Rogers@dtaa.com,,Garrett.Omar.Kelly@dtaa.com,44409,0,
01/05/2010 14:09:02,GOK0238,PC-0039,Tobias.Martin.Ashley@dtaa.com;Nicholas.Kato.Pennington@dtaa.com;Amaya.Britanni.Newton@dtaa.com,Vance.Ira.Alston@dtaa.com,,Garrett.Omar.Kelly@dtaa.com,35805,0,
01/05/2010 14:51:47,GOK0238,PC-0039,Tyler.Eden.Talley@dtaa.com,,,Garrett.Omar.Kelly@dtaa.com,32964,0,
01/05/2010 15:09:49,GOK0238,PC-0039,BNG16@juno.com;Collins-Kareem@hotmail.com,Amaya_Newton@earthlink.net,,Kelly-Garrett@netzero.com,22237,0,
01/06/2010 08:01:21,GOK0238,PC-0039,Hedda_Gordon@optonline.net,,,Kelly-Garrett@netzero.com,27320,0,
