01/04/2010 09:23:43,CFM0767,PC-4259,Lillith.Adena.Matthews@dtaa.com,Renee.Ivana.Hayden@dtaa.com,Cecilia.Freya.Morgan@dtaa.com,Cecilia.Freya.Morgan@dtaa.com,21618,0,
01/04/2010 09:38:59,CFM0767,PC-4259,Vance-Quintessa@netzero.com,Cecilia_Morgan@bellsouth.net,,Cecilia_Morgan@bellsouth.net,20986,0,
01/04/2010 09:50:25,CFM0767,PC-4259,Sarah_S_Jarvis@netzero.com;DEB23@charter.net;Maggy.Burt@sbcglobal.net;Vance-Quintessa@netzero.com;AWM2@bellsouth.net,,Cecilia_Morgan@bellsouth.net,Cecilia_Morgan@bellsouth.net,30939,0,
01/05/2010 15:08:04,CFM0767,PC-4259,Jolene_Carey@sbcglobal.net,Cecilia_Morgan@bellsouth.net,,Cecilia_Morgan@bellsouth.net,20055,0,
01/05/2010 15:08:38,CFM0767,PC-4259,HAV856@charter.net,Cecilia_Morgan@bellsouth.net,,Cecilia_Morgan@bellsouth.net,37161,0,
01/05/2010 15:09:21,CFM0767,PC-4259,Reed.Chaim.Perkins@dtaa.com;KCW8@lockheedmartin.com,Charde.Lareina.Barrett@dtaa.com,Cecilia.Freya.Morgan@dtaa.com,Cecilia.Freya.Morgan@dtaa.com,21694,2,
01/06/2010 09:32:53,CFM0767,PC-4259,Sarah.Susan.Jarvis@dtaa.com;Jolene.Frances.Carey@dtaa.com;Nichole.Melodie.Gilbert@dtaa.com;Ria.Neve.Flores@dtaa.com,,Cecilia.Freya.Morgan@dtaa.com,Cecilia.Freya.Morgan@dtaa.com,22339,0,
01/06/2010 11:06:37,CFM0767,PC-4259,Indira.Jocelyn.Mack@dtaa.com;Jonathan.Orlando.Marsh@dtaa.com,KCW8@lockheedmartin.com,Cecilia.Freya.Morgan@dtaa.com,Cecilia.Freya.Morgan@dtaa.com,24008,0,
01/06/2010 11:09:30,CFM0767,PC-4259,Akeem.William.Mayer@dtaa.com,Cecilia.Freya.Morgan@dtaa.com,,Cecilia.Freya.Morgan@dtaa.com,27534,0,
01/07/2010 15:52:06,CFM0767,PC-4259,Jared.Cameron.Rosa@dtaa.com;Blaine.Helen.Cervantes@dtaa.com,Sydnee.Leilani.Parsons@dtaa.com;Sarah.Susan.Jarvis@dtaa.com;KCW8@lockheedmartin.com,Cecilia.Freya.Morgan@dtaa.com,Cecilia.Freya.Morgan@dtaa.com,33964,0,
01/07/2010 15:55:01,CFM0767,PC-4259,Adam.Kendall.Harrell@dtaa.com;Dakota.Edward.Brady@dtaa.com,Phelan.Nissim.Howell@dtaa.com,Cecilia.Freya.Morgan@dtaa.com,Cecilia.Freya.Morgan@dtaa.com,28045,0,
01/07/2010 15:56:11,CFM0767,PC-4259,TaShya.Yoko.Bailey@dtaa.com,Cecilia.Freya.Morgan@dtaa.com,,Cecilia.Freya.Morgan@dtaa.com,48458,0,
01/08/2010 10:40:02,CFM0767,PC-4259,Indira.Jocelyn.Mack@dtaa.com,Cecilia.Freya.Morgan@dtaa.com,,Cecilia.Freya.Morgan@dtaa.com,35231,0,
01/08/2010 10:49:28,CFM0767,PC-4259,Serina.Ariana.Butler@dtaa.com,,Cecilia.Freya.Morgan@dtaa.com,Cecilia.Freya.Morgan@dtaa.com,29184,0,
01/08/2010 11:15:48,CFM0767,PC-4259,Risa.Hillary.Obrien@dtaa.com;Adam.Kendall.Harrell@dtaa.com,Jolene.Frances.Carey@dtaa.com,Cecilia.Freya.Morgan@dtaa.com,Cecilia.Freya.Morgan@dtaa.com,33462,1,
01/11/2010 14:15:59,CFM0767,PC-4259,Phelan.Nissim.Howell@dtaa.com,Cecilia.Freya.Morgan@dtaa.com,,Cecilia.Freya.Morgan@dtaa.com,55643,0,
01/11/2010 14:17:18,CFM0767,PC-4259,Jolene.Frances.Carey@dtaa.com;Blaine.Helen.Cervantes@dtaa.com;AAW64@northropgrumman.com,,Cecilia.Freya.Morgan@dtaa.com,Cecilia.Freya.Morgan@dtaa.com,26711,0,
01/11/2010 14:40:24,CFM0767,PC-4259,TaShya.Yoko.Bailey@dtaa.com;Jolene.Frances.Carey@dtaa.com;AAW64@northropgrumman.com,,Cecilia.Freya.Morgan@dtaa.com,Cecilia.Freya.Morgan@dtaa.com,18148,0,
01/12/2010 08:23:55,CFM0767,PC-4259,Reed.Chaim.Perkins@dtaa.com;Serina.Ariana.Butler@dtaa.com;Merritt.Oliver.Phelps@dtaa.com,Uriel.Axel.Diaz@dtaa.com;Sonia.Karly.Goodwin@dtaa.com;Cecilia.Freya.Morgan@dtaa.com,,Cecilia.Freya.Morgan@dtaa.com,29640,0,
01/12/2010 08:25:55,CFM0767,PC-4259,Simone.Scarlet.Rose@dtaa.com,Cecilia.Freya.Morgan@dtaa.com,,Cecilia.Freya.Morgan@dtaa.com,30761,0,
