01/04/2010 11:51:28,RSC0089,PC-9929,Patricia.Denise.Wright@dtaa.com;Patricia.Emily.Salazar@dtaa.com;Brynn_B_Conrad@hp.com,Malik.Adrian.Hebert@dtaa.com,,Robert.Samuel.Chen@dtaa.com,36417,1,
01/04/2010 13:14:43,RSC0089,PC-9929,PDW52@bellsouth.net;Patricia.E.Salazar@sbcglobal.net,,,RSC538@verizon.net,22365,0,
01/04/2010 13:46:14,RSC0089,PC-9929,Desirae.M.Koch@comcast.net,,,RSC538@verizon.net,35882,0,
01/04/2010 13:49:38,RSC0089,PC-9929,Dylan.Tiger.Terry@dtaa.com,,,Robert.Samuel.Chen@dtaa.com,48050,0,
01/04/2010 13:50:10,RSC0089,PC-9929,Sonya.Samantha.Hahn@dtaa.com;Alec.Boris.Chase@dtaa.com;Vincent.Avram.Aguirre@dtaa.com,Kermit.Beau.Leach@dtaa.com,,Robert.Samuel.Chen@dtaa.com,29599,1,
01/04/2010 14:08:56,RSC0089,PC-9929,Desirae.Mari.Koch@dtaa.com;William.Aristotle.Sampson@dtaa.com;Vincent.Avram.Aguirre@dtaa.com,Zachery.Samson.Kerr@dtaa.com,,Robert.Samuel.Chen@dtaa.com,20588,1,
01/04/2010 14:20:01,RSC0089,PC-9929,Patricia.E.Salazar@sbcglobal.net,,,RSC538@verizon.net,27777,0,
01/04/2010 15:34:05,RSC0089,PC-9929,Melyssa.Deirdre.Morgan@dtaa.com;Zachery.Samson.Kerr@dtaa.com;Dylan.Tiger.Terry@dtaa.com,Kermit.Beau.Leach@dtaa.com,,Robert.Samuel.Chen@dtaa.com,24329,3,
01/04/2010 15:39:29,RSC0089,PC-9929,LOM415@juno.com,,,RSC538@verizon.net,34149,0,
01/05/2010 08:17:29,RSC0089,PC-9929,Palmer-Sanders@gmail.com,,,RSC538@verizon.net,28352,0,
01/05/2010 08:30:37,RSC0089,PC-9929,William.Aristotle.Sampson@dtaa.com;Dylan.Tiger.Terry@dtaa.com;Roary.Jane.Barrett@dtaa.com;Brynn_B_Conrad@hp.com,,,Robert.Samuel.Chen@dtaa.com,40452,2,
01/05/2010 08:33:00,RSC0089,PC-9929,Devin_Guzman@bellsouth.net,,,RSC538@verizon.net,28402,0,
01/05/2010 08:35:14,RSC0089,PC-9929,DTT4@comcast.net,,,RSC538@verizon.net,38976,0,
01/05/2010 08:58:00,RSC0089,PC-9929,WAS14@cox.net;ABC251@cox.net;Stella_Castillo@bellsouth.net,Delilah.P.Schneider@aol.com;Palmer-Sanders@gmail.com,,RSC538@verizon.net,31712,1,
01/05/2010 09:12:49,RSC0089,PC-9929,Kerr-Zachery@yahoo.com;Roary-Barrett@charter.net;Desirae.M.Koch@comcast.net;Stella_Castillo@bellsouth.net,,,RSC538@verizon.net,25858,1,
01/05/2010 09:16:42,RSC0089,PC-9929,Patricia.E.Salazar@sbcglobal.net;Dexter-J-Simon@cox.net,PDW52@bellsouth.net,,RSC538@verizon.net,20137,8,
01/05/2010 09:17:20,RSC0089,PC-9929,PDW52@bellsouth.net,,,RSC538@verizon.net,25019,0,
01/05/2010 15:32:42,RSC0089,PC-9929,Zachery.Samson.Kerr@dtaa.com;Nicolas.Brandon.Hendrix@dtaa.com;Lane.Oleg.Mclaughlin@dtaa.com;EAW237@hp.com,,,Robert.Samuel.Chen@dtaa.com,20719,3,
01/06/2010 11:31:51,RSC0089,PC-9929,Desirae.Mari.Koch@dtaa.com,,,Robert.Samuel.Chen@dtaa.com,36595,0,
01/06/2010 11:42:23,RSC0089,PC-9929,Kermit.Beau.Leach@dtaa.com,,,Robert.Samuel.Chen@dtaa.com,29072,0,
01/06/2010 12:03:36,RSC0089,PC-9929,Desirae.Mari.Koch@dtaa.com,,,Robert.Samuel.Chen@dtaa.com,30903,0,
01/06/2010 12:54:49,RSC0089,PC-9929,Delilah.Pearl.Schneider@dtaa.com,,,Robert.Samuel.Chen@dtaa.com,16525,1,
01/06/2010 12:56:03,RSC0089,PC-9929,Devin_Guzman@bellsouth.net,,,RSC538@verizon.net,17385,5,
01/06/2010 12:58:34,RSC0089,PC-9929,Bevis.Christopher.Mcknight@dtaa.com,,,Robert.Samuel.Chen@dtaa.com,17934,0,
